"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 19 17:42:08 CST 2022","Fri Aug 19 17:42:19 CST 2022","11258","testcase","test_login_alivia_stage","TestAliviaBlankMe","","","直播复盘进入直播间",""
"broken","Fri Aug 19 17:42:08 CST 2022","Fri Aug 19 17:42:08 CST 2022","0","testcase","test_login_alivia_stage","TestAliviaBlankMe","","","直播复盘列表页",""
